output_text,input_text
index of prohibited books,indices of prohibited books
salmon swimming upstream,salmon swimming upstream
deer in the misty meadow,deer in the misty meadow
criterion for excellence in teaching,criteria for excellence in teaching
wife of the distinguished professor,wives of the distinguished professor
man-child at the playground,man-children at the playground
mother-in-law from Seattle,mothers-in-law from Seattle
species of rare butterfly,species of rare butterfly
octopus in the coral reef,octopi in the coral reef
millennium of human history,millennia of human history
passerby on the busy street,passersby on the busy street
aircraft in the clear blue sky,aircraft in the clear blue sky
grown-up child of divorce,grown-up children of divorce
memorandum from the board,memoranda from the board
oasis in the vast desert,oases in the vast desert
alumnus of Harvard,alumni of Harvard
stimulus for economic growth,stimuli for economic growth
die on the gaming table,dice on the gaming table
axis of rotation,axes of rotation
fungus in the damp soil,fungi in the damp soil
bacterium under the microscope,bacteria under the microscope
vertebra in the spine,vertebrae in the spine
court-martial in session,courts-martial in session
passer-by on Main Street,passers-by on Main Street
brother-in-law from Michigan,brothers-in-law from Michigan
attorney general of the state,attorneys general of the state
runner-up in the contest,runners-up in the contest
basis for the argument,bases for the argument
crisis in the Middle East,crises in the Middle East
hypothesis of quantum mechanics,hypotheses of quantum mechanics
stratum of ancient civilization,strata of ancient civilization
memorandum from the CEO,memoranda from the CEO
commander in chief of the army,commanders in chief of the army
foot-pound of energy,foot-pounds of energy
woman doctor at the clinic,women doctors at the clinic
child prodigy at the piano,children prodigies at the piano
louse on the specimen,lice on the specimen
dormouse in the hedge,dormice in the hedge
snowman in the yard,snowmen in the yard
policeman on duty,policemen on duty
nucleus of the atom,nuclei of the atom
radius of the circle,radii of the circle
calf in the meadow,calves in the meadow
knife on the table,knives on the table
thief in the night,thieves in the night
shelf in the bookcase,shelves in the bookcase
brass doorknob on the cabinet,brass doorknobs on the cabinet
half-empty glass of milk,half-empty glasses of milk
wooden box beneath the stairs,wooden boxes beneath the stairs
silver knife with pearl handle,silver knives with pearl handles
dusty shelf in the attic,dusty shelves in the attic
copper penny from 1982,copper pennies from 1982
leaf from the oak tree,leaves from the oak tree
mouse trap behind the refrigerator,mouse traps behind the refrigerator
ivory chess piece on the board,ivory chess pieces on the board
loaf of sourdough bread,loaves of sourdough bread
scarlet berry on the bush,scarlet berries on the bush
chinese food container,chinese food containers
handmade scarf with gold thread,handmade scarves with gold thread
wolf cub in the den,wolf cubs in the den
porcelain dish with blue trim,porcelain dishes with blue trim
mouse pad with wrist support,mouse pads with wrist support
goose egg in the nest,goose eggs in the nest
antique watch with leather band,antique watches with leather bands
rusty nail in the floorboard,rusty nails in the floorboards
brass hoof on the rocking horse,brass hooves on the rocking horse
tooth in the jewelry box,teeth in the jewelry box
silk handkerchief with lace edge,silk handkerchiefs with lace edges
leather-bound book on history,leather-bound books on history
cast-iron pot on the stove,cast-iron pots on the stove
half-burned candle on the shelf,half-burned candles on the shelf
wooden foot of the bed,wooden feet of the bed
glass eye of the porcelain doll,glass eyes of the porcelain doll
ruby ring in the velvet box,ruby rings in the velvet boxes
ceramic mug with broken handle,ceramic mugs with broken handles
brass thimble in the sewing kit,brass thimbles in the sewing kits
voodoo doll with missing pin,voodoo dolls with missing pins
octopus-shaped stress toy,octopus-shaped stress toys
half-melted crayon in the sun,half-melted crayons in the sun
crumpled receipt from Mars,crumpled receipts from Mars
origami wolf with gold trim,origami wolves with gold trim
thimble full of glitter,thimbles full of glitter
pickled toe in the jar,pickled toes in the jars
plastic tooth with candy inside,plastic teeth with candy inside
crystal ball filled with smoke,crystal balls filled with smoke
haunted locket with scratch marks,haunted lockets with scratch marks
petrified mouse in amber,petrified mice in amber
glass eye from the pirate,glass eyes from the pirate
shrunken head on a keychain,shrunken heads on keychains
fairy wing in resin,fairy wings in resin
cursed penny from 1923,cursed pennies from 1923
rubber foot with six toes,rubber feet with six toes
mummified hamster in wrapping,mummified hamsters in wrapping
bronze tooth from the dragon,bronze teeth from the dragon
snow globe with black snow,snow globes with black snow
bottled butterfly with ruby wings,bottled butterflies with ruby wings
zombie finger in formaldehyde,zombie fingers in formaldehyde
enchanted leaf made of copper,enchanted leaves made of copper
chocolate brain with caramel,chocolate brains with caramel
fossilized egg of mystery,fossilized eggs of mystery
porcelain hand holding dice,porcelain hands holding dice
scorpion in lime jello,scorpions in lime jello
knife made of frozen blood,knives made of frozen blood
tiny man in the bottle,tiny men in the bottles
clockwork mouse with ruby eyes,clockwork mice with ruby eyes
witch's tooth in a locket,witches' teeth in lockets
ruby eye from the gargoyle,ruby eyes from the gargoyle
silver tooth from the vampire,silver teeth from the vampire
cursed feather from the phoenix,cursed feathers from the phoenix
brass button from the sailor,brass buttons from the sailor
pickled brain from the zombie,pickled brains from the zombie
golden scale from the dragon,golden scales from the dragon
crystal tear from the mermaid,crystal tears from the mermaid
poisoned berry from the bush,poisoned berries from the bush
mechanical cog from the robot,mechanical cogs from the robot
dried flower from the witch,dried flowers from the witch
glowing marble from the wizard,glowing marbles from the wizard
magic bean from the giant,magic beans from the giant
frozen finger from the snowman,frozen fingers from the snowman
porcelain shard from the doll,porcelain shards from the doll
ancient coin from the chest,ancient coins from the chest
bloody fang from the werewolf,bloody fangs from the werewolf
paper crane from the origami master,paper cranes from the origami master
clockwork beetle from the watchmaker,clockwork beetles from the watchmaker
chocolate rose from the baker,chocolate roses from the baker
painted shell from the hermit,painted shells from the hermit
crystal bone from the skeleton,crystal bones from the skeleton
silk ribbon from the dancer,silk ribbons from the dancer
wax seal from the letter,wax seals from the letter
brass key from the locksmith,brass keys from the locksmith
glass heart from the puppet,glass hearts from the puppet
rust-covered knife from the chef,rust-covered knives from the chef
half-melted crystal from the meteor,half-melted crystals from the meteor
blood-stained tooth from the beast,blood-stained teeth from the beast
neon-painted skull from the collector,neon-painted skulls from the collector
diamond-studded eye from the idol,diamond-studded eyes from the idol
moss-covered key from the chest,moss-covered keys from the chest
acid-etched coin from the wreck,acid-etched coins from the wreck
frost-bitten finger from the explorer,frost-bitten fingers from the explorer
honey-preserved butterfly in amber,honey-preserved butterflies in amber
chrome-plated tooth from the robot,chrome-plated teeth from the robot
ink-stained page from the grimoire,ink-stained pages from the grimoire
web-covered doll in the attic,web-covered dolls in the attic
salt-encrusted compass from the sea,salt-encrusted compasses from the sea
radiation-scorched badge from the lab,radiation-scorched badges from the lab
mold-spotted berry from the vine,mold-spotted berries from the vine
ash-dusted mask from the tomb,ash-dusted masks from the tomb
silver-tipped arrow from the hunter,silver-tipped arrows from the hunter
oil-slicked feather from the phoenix,oil-slicked feathers from the phoenix
poison-dipped needle from the spinner,poison-dipped needles from the spinner
storm-charged crystal from the peak,storm-charged crystals from the peak
dust-covered brain in the jar,dust-covered brains in the jar
acid-warped penny from the sewer,acid-warped pennies from the sewer
sun-bleached bone from the desert,sun-bleached bones from the desert
curse-marked ring from the priest,curse-marked rings from the priest
rust-frozen gear from the machine,rust-frozen gears from the machine
charred doll beneath the floorboards,charred dolls beneath the floorboards
brass key wrapped in silk,brass keys wrapped in silk
severed hand still wearing its ring,severed hands still wearing their rings
crystal eye that glows at midnight,crystal eyes that glow at midnight
poisoned apple floating in brine,poisoned apples floating in brine
broken tooth wrapped in gold wire,broken teeth wrapped in gold wire
frozen rose dripping with mercury,frozen roses dripping with mercury
porcelain finger pointed at the moon,porcelain fingers pointed at the moon
glass butterfly trapped in ice,glass butterflies trapped in ice
rusted coin sealed with wax,rusted coins sealed with wax
mechanical spider wrapped in velvet,mechanical spiders wrapped in velvet
wooden doll with missing eye,wooden dolls with missing eyes
silver key melted by acid,silver keys melted by acid
shrunken head wearing a crown,shrunken heads wearing crowns
clockwork heart bound in copper,clockwork hearts bound in copper
mummified rat dressed in silk,mummified rats dressed in silk
jade scarab covered in hieroglyphs,jade scarabs covered in hieroglyphs
crystal skull filled with smoke,crystal skulls filled with smoke
brass beetle dipped in poison,brass beetles dipped in poison
paper crane soaked in blood,paper cranes soaked in blood
frozen tear carved from sapphire,frozen tears carved from sapphire
ceramic hand holding a flame,ceramic hands holding flames
stone egg wrapped in chains,stone eggs wrapped in chains
golden tooth marked with symbols,golden teeth marked with symbols
glass heart full of ashes,glass hearts full of ashes
bottled eye swimming in honey,bottled eyes swimming in honey
obsidian knife etched with runes,obsidian knives etched with runes
copper bird filled with sand,copper birds filled with sand
jeweled beetle wrapped in thread,jeweled beetles wrapped in thread
glass hand clenched in fury,glass hands clenched in fury
ivory comb stained with blood,ivory combs stained with blood
steel rose dusted with rust,steel roses dusted with rust
ceramic crow painted with gold,ceramic crows painted with gold
frozen tear caught in amber,frozen tears caught in amber
twisted key bound in leather,twisted keys bound in leather
silver tooth streaming with light,silver teeth streaming with light
crystal dove drowned in oil,crystal doves drowned in oil
brass spider weaving silver,brass spiders weaving silver
wooden eye leaking mercury,wooden eyes leaking mercury
stone heart wrapped in vines,stone hearts wrapped in vines
paper doll soaked in tears,paper dolls soaked in tears
iron feather dipped in glass,iron feathers dipped in glass
porcelain moth dusted with ash,porcelain moths dusted with ash
golden snail trailing slime,golden snails trailing slime
tin soldier melted by time,tin soldiers melted by time
jade leaf carved with faces,jade leaves carved with faces
bronze tear frozen in time,bronze tears frozen in time
glass scorpion filled with mist,glass scorpions filled with mist
crystal tooth bound in wire,crystal teeth bound in wire
copper skull leaking dreams,copper skulls leaking dreams
painted bone dripping with dew,painted bones dripping with dew
mercury bead trapped in quartz,mercury beads trapped in quartz
cursed ring bound in thorns,cursed rings bound in thorns
glass wasp filled with storm,glass wasps filled with storm
porcelain finger pointing north,porcelain fingers pointing north
rusted bell full of teeth,rusted bells full of teeth
jade owl sealed with lead,jade owls sealed with lead
brass eye leaking starlight,brass eyes leaking starlight
frozen moth caught in crystal,frozen moths caught in crystal
silver thorn piercing velvet,silver thorns piercing velvet
ceramic heart pumping sand,ceramic hearts pumping sand
stone doll carved with sigils,stone dolls carved with sigils
iron tear stained with gold,iron tears stained with gold
crystal rope braided with hair,crystal ropes braided with hair
wooden key wrapped in silk,wooden keys wrapped in silk
copper rose bleeding rust,copper roses bleeding rust
obsidian bird filled with smoke,obsidian birds filled with smoke
tin butterfly sealed in ice,tin butterflies sealed in ice
bronze feather burning cold,bronze feathers burning cold
pearl eye rolling in moss,pearl eyes rolling in moss
glass hand grasping shadows,glass hands grasping shadows
steel leaf cutting light,steel leaves cutting light
mercury skull dripping silver,mercury skulls dripping silver
ivory snake coiled in glass,ivory snakes coiled in glass
ceramic star falling dark,ceramic stars falling dark
golden web catching dreams,golden webs catching dreams
diamond tooth cracked with frost,diamond teeth cracked with frost
pewter ghost trapped in amber,pewter ghosts trapped in amber
brass needle threading void,brass needles threading void
silver egg warming night,silver eggs warming night
ruby claw scratching time,ruby claws scratching time
iron mask leaking wishes,iron masks leaking wishes
crystal book burning blue,crystal books burning blue
emerald fish swimming air,emerald fish swimming air
bronze shell echoing void,bronze shells echoing void
marble hand holding fog,marble hands holding fog
opal eye reflecting doom,opal eyes reflecting doom
steel heart ticking rust,steel hearts ticking rust
granite wing carved with dreams,granite wings carved with dreams
copper chain binding smoke,copper chains binding smoke
obsidian door leading nowhere,obsidian doors leading nowhere
jade key unlocking shadow,jade keys unlocking shadow
silver bell tolling silence,silver bells tolling silence
crystal dice rolling fate,crystal dice rolling fate
brass compass pointing void,brass compasses pointing void
iron crown bleeding rust,iron crowns bleeding rust
glass sword cutting wind,glass swords cutting wind
stone finger pointing home,stone fingers pointing home
wooden heart burning cold,wooden hearts burning cold
platinum egg holding dawn,platinum eggs holding dawn
mercury drop catching light,mercury drops catching light
tin star reflecting void,tin stars reflecting void
ghostly mouse whispering lies,ghostly mice whispering lies
frost-bitten leaf trapped in glass,frost-bitten leaves trapped in glass
burning tooth marked by time,burning teeth marked by time
midnight wolf carved from ice,midnight wolves carved from ice
crimson foot cast in brass,crimson feet cast in brass
shattered thief in amber,shattered thieves in amber
cursed goose bound in chains,cursed geese bound in chains
ancient louse sealed in gold,ancient lice sealed in gold
copper child holding stars,copper children holding stars
crystal knife eating light,crystal knives eating light
obsidian fish drinking shade,obsidian fish drinking shade
broken criterion etched in stone,broken criteria etched in stone
porcelain ox wearing crowns,porcelain oxen wearing crowns
glass cactus bleeding sand,glass cacti bleeding sand
frozen phenomenon beneath ice,frozen phenomena beneath ice
brass fungus growing dark,brass fungi growing dark
silver sphinx telling lies,silver sphinxes telling lies
ruby focus bending light,ruby foci bending light
iron nemesis wearing silk,iron nemeses wearing silk
crystal stimulus wrapped in dark,crystal stimuli wrapped in dark
copper matrix glowing blue,copper matrices glowing blue
glass stratum holding time,glass strata holding time
golden octopus weaving fate,golden octopi weaving fate
obsidian radius cutting night,obsidian radii cutting night
emerald vertebra singing doom,emerald vertebrae singing doom
silver automaton drinking dreams,silver automata drinking dreams
brass nucleus splitting void,brass nuclei splitting void
crystal memorandum sealed in ice,crystal memoranda sealed in ice
jade hypothesis trapped in glass,jade hypotheses trapped in glass
mercury analysis frozen in time,mercury analyses frozen in time
platinum oasis burning cold,platinum oases burning cold
tin emphasis carved in bone,tin emphases carved in bone
copper crisis bleeding rust,copper crises bleeding rust
glass ellipsis holding breath,glass ellipses holding breath
bronze diagnosis eating light,bronze diagnoses eating light
marble axis turning void,marble axes turning void
crystal basis cracking dawn,crystal bases cracking dawn
iron stigma burning bright,iron stigmata burning bright
obsidian medium speaking death,obsidian media speaking death
ruby maximum touching void,ruby maxima touching void
silver millennium counting stars,silver millennia counting stars
leather boot filled with sand,leather boots filled with sand
brass tooth from the comb,brass teeth from the comb
cracked leaf pressed in wax,cracked leaves pressed in wax
painted mouse beneath glass,painted mice beneath glass
copper penny sealed in ice,copper pennies sealed in ice
broken foot from the doll,broken feet from the doll
silver knife with rust spots,silver knives with rust spots
wooden goose dipped in paint,wooden geese dipped in paint
crystal die showing six,crystal dice showing six
porcelain fish in water,porcelain fish in water
torn scarf wrapped in paper,torn scarves wrapped in paper
brass thimble full of dirt,brass thimbles full of dirt
china cup stained with tea,china cups stained with tea
painted tooth in the box,painted teeth in the box
wooden hoof from the toy,wooden hooves from the toy
plastic wolf with spots,plastic wolves with spots
tin berry covered in sugar,tin berries covered in sugar
ceramic calf with spots,ceramic calves with spots
woven scarf with fringe,woven scarves with fringe
cloth mouse stuffed with beans,cloth mice stuffed with beans
painted shelf in the box,painted shelves in the box
metal knife under glass,metal knives under glass
paper leaf dipped in wax,paper leaves dipped in wax
wooden spoon with cracks,wooden spoons with cracks
glass fish in blue water,glass fish in blue water
steel hook wrapped in tape,steel hooks wrapped in tape
plastic foot from the toy,plastic feet from the toy
rubber tooth with spots,rubber teeth with spots
cotton glove filled with rice,cotton gloves filled with rice
ceramic wolf with patches,ceramic wolves with patches
brass key covered in tape,brass keys covered in tape
paper box filled with sand,paper boxes filled with sand
wooden spoon dipped in paint,wooden spoons dipped in paint
plastic mouse covered in dust,plastic mice covered in dust
metal foot from the bench,metal feet from the bench
glass knife with blue spots,glass knives with blue spots
rubber tooth filled with sand,rubber teeth filled with sand
copper penny beneath tape,copper pennies beneath tape
ceramic wolf in the box,ceramic wolves in the box
cotton glove stained with ink,cotton gloves stained with ink
painted leaf stuck in glue,painted leaves stuck in glue
brass hook wrapped in string,brass hooks wrapped in string
paper fish soaked in wax,paper fish soaked in wax
plastic hoof from the horse,plastic hooves from the horse
wooden die showing three,wooden dice showing three
china cup with gold rim,china cups with gold rim
leather boot stained with mud,leather boots stained with mud
rubber goose in the tub,rubber geese in the tub
metal shelf bent with age,metal shelves bent with age
glass thimble full of beads,glass thimbles full of beads
wooden calf with red spots,wooden calves with red spots
cotton scarf with loose threads,cotton scarves with loose threads
plastic berry in the bowl,plastic berries in the bowl
ceramic foot from the lamp,ceramic feet from the lamp
paper wolf cut from cards,paper wolves cut from cards
brass tooth from the zipper,brass teeth from the zipper
rubber knife for practice,rubber knives for practice
wooden fish with blue fins,wooden fish with blue fins
metal mouse in the trap,metal mice in the trap
glass leaf pressed in books,glass leaves pressed in books
leather glove lined with fur,leather gloves lined with fur
plastic penny for games,plastic pennies for games
ceramic hook on the wall,ceramic hooks on the wall
wooden shelf with paint chips,wooden shelves with paint chips
cotton boot for the rain,cotton boots for the rain
brass die marked with dots,brass dice marked with dots
china wolf with spots,china wolves with spots
rubber foot for the chair,rubber feet for the chair
glass berry in the jar,glass berries in the jar
metal scarf clip with gems,metal scarf clips with gems
plastic tooth from the comb,plastic teeth from the comb
wooden mouse with wheels,wooden mice with wheels
ceramic penny in the tile,ceramic pennies in the tile
paper boot cut from felt,paper boots cut from felt
leather fish with scales,leather fish with scales
brass leaf pinned to cork,brass leaves pinned to cork
rubber hook for the door,rubber hooks for the door
cotton mouse with whiskers,cotton mice with whiskers
glass foot from the vase,glass feet from the vase
wooden berry carved red,wooden berries carved red
metal goose with wings,metal geese with wings
plastic shelf for spices,plastic shelves for spices
ceramic knife with handle,ceramic knives with handle
paper tooth from the chart,paper teeth from the chart
brass wolf with red eyes,brass wolves with red eyes
leather die in the cup,leather dice in the cup
rubber leaf for crafts,rubber leaves for crafts
wooden hook for the coat,wooden hooks for the coat
glass mouse under dome,glass mice under dome
metal berry on chain,metal berries on chain
china foot with flowers,china feet with flowers
plastic scarf with snaps,plastic scarves with snaps
foot,feet
mouse,mice
tooth,teeth
goose,geese
child,children
person,people
cactus,cacti
focus,foci
fungus,fungi
stimulus,stimuli
criterion,criteria
phenomenon,phenomena
axis,axes
index,indices
matrix,matrices
vertex,vertices
radius,radii
datum,data
medium,media
maximum,maxima
minimum,minima
analysis,analyses
crisis,crises
thesis,theses
hypothesis,hypotheses
basis,bases
diagnosis,diagnoses
parenthesis,parentheses
knife,knives
life,lives
wife,wives
wolf,wolves
shelf,shelves
self,selves
leaf,leaves
thief,thieves
hoof,hooves
scarf,scarves
half,halves
box,boxes
fox,foxes
buzz,buzzes
fish,fish
sheep,sheep
deer,deer
moose,moose
aircraft,aircraft
series,series
species,species
cat,cats
dog,dogs
book,books
pen,pens
cup,cups
table,tables
chair,chairs
door,doors
window,windows
lamp,lamps
phone,phones
computer,computers
screen,screens
bottle,bottles
glass,glasses
plate,plates
fork,forks
spoon,spoons
toy,toys
game,games
ball,balls
sock,socks
shoe,shoes
hat,hats
glove,gloves
watch,watches
brush,brushes
match,matches
dish,dishes
wish,wishes
church,churches
bench,benches
dress,dresses
bus,buses
class,classes
boss,bosses
quiz,quizzes
octopus,octopi
syllabus,syllabi
alumnus,alumni
bacterium,bacteria
curriculum,curricula
memorandum,memoranda
stratum,strata
antenna,antennae
formula,formulae
nebula,nebulae
vertebra,vertebrae
ox,oxen
louse,lice
dormouse,dormice
die,dice
antenna,antennae
addendum,addenda
alga,algae
alumna,alumnae
larva,larvae
amoeba,amoebae
echo,echoes
hero,heroes
potato,potatoes
tomato,tomatoes
calf,calves
elf,elves
loaf,loaves
woman,women
man,men
tooth,teeth
criterion,criteria
nucleus,nuclei
oasis,oases
crisis,crises
mongoose,mongooses
sphinx,sphinxes
lynx,lynxes
roof,roofs
belief,beliefs
chief,chiefs
handkerchief,handkerchiefs
walrus,walruses
virus,viruses
status,statuses
trout,trout
salmon,salmon
bass,bass
cod,cod
buffalo,buffalo
shrimp,shrimp
vertex,vertices
vortex,vortices
appendix,appendices
index,indices
matrix,matrices
apex,apices
cortex,cortices
millennium,millennia
spectrum,spectra
consortium,consortia
automaton,automata
cherub,cherubim
seraph,seraphim
stigma,stigmata
schema,schemata
lemma,lemmata
dictum,dicta
forum,forums
ovum,ova
erratum,errata
genus,genera
corpus,corpora
opus,opera
platypus,platypuses
octopus,octopuses
hippopotamus,hippopotamuses
rhinoceros,rhinoceroses
penis,penes
testis,testes
atlas,atlases
cosmos,cosmoses
chaos,chaoses
bias,biases
iris,irises
mantis,mantises
canvas,canvases
compass,compasses
metropolis,metropolises
apparatus,apparatuses
impetus,impetuses
prospectus,prospectuses
succubus,succubi
incubus,incubi
cockroach,cockroaches
epoch,epochs
monarch,monarchs
matriarch,matriarchs
stomach,stomachs
triptych,triptychs
axis,axes
praxis,praxes
lexis,lexes
testis,testes
pelvis,pelvises
ibis,ibises
jackal,jackals
mother-in-law,mothers-in-law
passer-by,passers-by
court-martial,courts-martial
man-child,man-children
grown-up,grown-ups
editor-in-chief,editors-in-chief
attorney-at-law,attorneys-at-law
runner-up,runners-up
sister-in-law,sisters-in-law
merry-go-round,merry-go-rounds
check-in,check-ins
trade-off,trade-offs
lieutenant-general,lieutenant-generals
brother-in-law,brothers-in-law
step-child,step-children
grand-child,grand-children
ferryman,ferrymen
doorman,doormen
snowman,snowmen
businessman,businessmen
policeman,policemen
fireman,firemen
axis,axes
neurosis,neuroses
parenthesis,parentheses
synopsis,synopses
emphasis,emphases
metamorphosis,metamorphoses
prognosis,prognoses
lacuna,lacunae
minutia,minutiae
nova,novae
villa,villas
formula,formulas
dogma,dogmas
dilemma,dilemmas
magma,magma
miasma,miasmas
plasma,plasmas
enigma,enigmas
drama,dramas
lemma,lemmas
comma,commas
tableau,tableaux
bureau,bureaux
beau,beaux
bandeau,bandeaux
portmanteau,portmanteaux
chateau,chateaux
trousseau,trousseaux
fox-in-the-hole,foxes-in-the-hole
jack-in-the-box,jacks-in-the-box
forget-me-not,forget-me-nots
know-it-all,know-it-alls
has-been,has-beens
break-in,break-ins
higher-up,higher-ups
hand-me-down,hand-me-downs
knight-errant,knights-errant
son-in-law,sons-in-law
chief-of-staff,chiefs-of-staff
commander-in-chief,commanders-in-chief
sergeant-at-arms,sergeants-at-arms
man-at-arms,men-at-arms
lady-in-waiting,ladies-in-waiting
right-of-way,rights-of-way
coat-of-arms,coats-of-arms
queen-of-hearts,queens-of-hearts
jack-of-all-trades,jacks-of-all-trades
man-of-war,men-of-war
ship-of-the-line,ships-of-the-line
god-child,god-children
foster-child,foster-children
tooth-mark,tooth-marks
foot-pound,foot-pounds
mouse-trap,mouse-traps
goose-step,goose-steps
moon-stone,moon-stones
glass-tooth,glass-teeth
spark-leaf,spark-leaves
dream-knife,dream-knives
star-mouse,star-mice
crystal-foot,crystal-feet
wind-goose,wind-geese
shadow-box,shadow-boxes
frost-penny,frost-pennies
sun-compass,sun-compasses
zith-berry,zith-berries
quox-knife,quox-knives
yald-leaf,yald-leaves
breen-tooth,breen-teeth
klax-penny,klax-pennies
thrax-box,thrax-boxes
mith-wolf,mith-wolves
zorn-fish,zorn-fish
flax-mouse,flax-mice
vex-thimble,vex-thimbles
glim-stone,glim-stones
pax-watch,pax-watches
thrum-compass,thrum-compasses
zelk-berry,zelk-berries
quin-foot,quin-feet
brass-zox,brass-zoxes
silver-thrax,silver-thraxes
palm-nexus,palm-nexuses
hand-vertex,hand-vertices
pocket-sphinx,pocket-sphinxes
grip-matrix,grip-matrices
thumb-focus,thumb-foci
pouch-stimulus,pouch-stimuli
palm-cactus,palm-cacti
hand-fungus,hand-fungi
pocket-criterion,pocket-criteria
grip-phenomenon,grip-phenomena
zinc-thax,zinc-thaxes
pearl-quex,pearl-quexes
brass-zith,brass-ziths
copper-yald,copper-yalds
glass-vorp,glass-vorps
iron-klax,iron-klaxes
silver-thrum,silver-thrums
golden-flax,golden-flaxes
crystal-mith,crystal-miths
ruby-zorn,ruby-zorns
child,children
foot,feet
tooth,teeth
mouse,mice
goose,geese
man,men
woman,women
person,people
leaf,leaves
knife,knives
wolf,wolves
cactus,cacti
focus,foci
fungus,fungi
nucleus,nuclei
radius,radii
alumnus,alumni
syllabus,syllabi
crisis,crises
thesis,theses
analysis,analyses
diagnosis,diagnoses
oasis,oases
axis,axes
hypothesis,hypotheses
phenomenon,phenomena
criterion,criteria
book,books
car,cars
dog,dogs
cat,cats
house,houses
tree,trees
computer,computers
phone,phones
table,tables
chair,chairs
window,windows
door,doors
school,schools
teacher,teachers
student,students
friend,friends
flower,flowers
garden,gardens
river,rivers
mountain,mountains
city,cities
country,countries
song,songs
movie,movies
game,games
key,keys
bag,bags
shirt,shirts
shoe,shoes
hat,hats
road,roads
train,trains
